id,Gender,Age,Class,Flight Distance,Food and drink,On-board service,Checkin service,Cleanliness,satisfaction
120440,Male,15,Eco,449,3,1,4,3,neutral or dissatisfied
55823,Female,49,Business,1416,2,4,5,2,neutral or dissatisfied
107792,Male,41,Business,2388,5,4,5,5,satisfied
80531,Male,43,Business,1678,3,2,4,5,satisfied
128145,Male,60,Business,1972,4,5,5,3,satisfied
63370,Female,42,Eco,337,3,3,2,2,satisfied
12452,Female,8,Eco,253,4,5,4,4,neutral or dissatisfied
16145,Female,42,Eco,212,5,5,5,2,satisfied
44418,Male,18,Eco Plus,342,3,2,1,3,neutral or dissatisfied
95746,Male,47,Business,3556,3,5,3,4,satisfied
41134,Female,27,Eco,191,5,2,2,5,neutral or dissatisfied
3214,,67,Eco Plus,693,5,1,1,4,neutral or dissatisfied
74101,Male,38,Business,641,2,5,3,2,satisfied
106220,Female,20,Eco,471,3,4,5,3,neutral or dissatisfied
88134,Female,60,Business,3823,4,5,3,3,satisfied
64475,Male,23,Business,282,4,3,3,4,satisfied
123812,Male,25,Business,544,2,4,4,2,neutral or dissatisfied
88893,Female,38,Business,2955,3,4,3,3,satisfied
31244,Female,40,Business,2806,3,5,5,5,satisfied
97762,Male,19,Eco,587,1,5,4,1,neutral or dissatisfied
59851,Female,61,Business,2073,4,4,4,5,satisfied
25137,Male,44,Eco,1249,5,5,4,5,neutral or dissatisfied
18412,Female,22,Eco,284,3,4,3,3,neutral or dissatisfied
87192,Female,8,Eco,946,3,1,4,3,neutral or dissatisfied
127062,Female,45,Business,3947,3,3,4,3,neutral or dissatisfied
112169,Male,46,Eco,895,1,,3,1,satisfied
127798,Female,54,Business,1634,4,3,3,1,neutral or dissatisfied
91778,Male,62,Eco,588,1,1,2,1,neutral or dissatisfied
42609,Female,25,Business,2533,2,5,1,2,satisfied
67482,Female,32,Eco,641,2,4,5,2,neutral or dissatisfied
91108,Female,65,Eco,581,4,1,4,5,neutral or dissatisfied
102318,Male,40,Business,223,2,4,3,2,neutral or dissatisfied
51281,Female,30,Eco Plus,326,2,4,4,2,satisfied
6528,Female,67,Eco,599,1,3,2,1,neutral or dissatisfied
121232,Male,51,Business,2075,2,5,3,3,satisfied
72478,Female,47,Business,964,5,5,4,3,satisfied
122788,Female,38,Eco,599,1,2,3,1,neutral or dissatisfied
5528,Male,54,Business,3138,5,4,3,4,satisfied
107726,Female,57,Eco,251,3,1,5,3,neutral or dissatisfied
72606,Male,13,Eco,1119,2,3,5,2,neutral or dissatisfied
75522,Female,20,Eco,337,4,3,4,4,satisfied
125687,Female,45,Business,759,2,2,3,4,neutral or dissatisfied
79908,Female,51,Business,2344,3,3,3,3,satisfied
117345,Male,25,Business,296,2,4,5,2,satisfied
73465,Female,39,Eco,1005,2,2,5,5,neutral or dissatisfied
95851,Female,46,Business,580,3,4,3,5,satisfied
44992,Male,53,Eco,359,1,1,4,1,neutral or dissatisfied
70631,Female,61,Eco,1217,5,4,4,4,satisfied
13761,Female,61,Eco Plus,384,3,4,3,5,satisfied
74968,Male,16,Eco,2586,4,5,5,4,neutral or dissatisfied
12371,Female,44,Business,2903,2,2,3,1,neutral or dissatisfied
8378,Female,17,Business,3170,5,1,1,5,satisfied
82080,Female,50,Eco,1276,4,2,1,1,neutral or dissatisfied
107972,Female,40,Business,825,5,5,3,5,satisfied
101228,Male,47,Business,2204,,2,4,3,satisfied
85577,Female,80,Business,3464,2,4,5,4,satisfied
2717,Female,38,Eco,562,4,1,4,4,satisfied
88529,Male,31,Eco,404,3,4,4,3,satisfied
91613,Male,59,Business,1199,5,4,3,1,neutral or dissatisfied
88865,Female,22,Business,1968,4,1,4,4,neutral or dissatisfied
96960,Female,53,Business,2560,5,3,3,3,satisfied
51191,Female,56,Eco Plus,308,5,4,5,2,satisfied
9461,Female,48,Eco,362,2,3,5,4,neutral or dissatisfied
66384,Male,38,Business,1562,2,5,3,2,neutral or dissatisfied
41934,Male,64,Eco,129,1,3,4,1,neutral or dissatisfied
25381,Male,67,Eco,591,5,4,3,5,neutral or dissatisfied
14757,Female,62,Business,3692,3,4,1,2,satisfied
94013,Male,57,Business,1859,2,4,5,5,satisfied
80107,Female,27,Eco,986,1,1,1,1,neutral or dissatisfied
23590,Female,25,Eco,1024,5,1,1,5,neutral or dissatisfied
110384,Female,52,Eco,919,3,3,1,1,neutral or dissatisfied
15069,Female,45,Eco Plus,576,3,4,5,2,satisfied
17128,Female,23,Eco,423,1,2,3,1,neutral or dissatisfied
54060,Male,55,Eco,1416,5,4,2,5,satisfied
129240,Male,53,Business,1464,5,3,3,3,neutral or dissatisfied
97165,Female,9,Eco,715,1,5,4,1,satisfied
111696,Male,33,Business,541,4,5,3,4,satisfied
1887,Male,64,Business,293,3,4,4,3,neutral or dissatisfied
89086,Female,8,Eco,2092,4,4,3,4,neutral or dissatisfied
35485,Male,34,Eco,1053,3,3,3,3,neutral or dissatisfied
35719,Male,59,Eco,2521,1,3,5,5,neutral or dissatisfied
85669,Female,13,Business,2544,3,4,3,3,neutral or dissatisfied
1137,Male,44,Eco,158,2,2,4,2,neutral or dissatisfied
8358,Male,54,Business,1741,4,4,4,3,satisfied
17217,Male,36,Business,2651,3,5,5,3,satisfied
44847,Female,11,Eco,760,5,3,4,5,neutral or dissatisfied
96673,Female,32,Eco,1036,5,5,5,5,neutral or dissatisfied
80152,Male,42,Eco,2586,1,5,1,1,neutral or dissatisfied
82277,Female,27,Eco,1081,2,1,3,2,neutral or dissatisfied
123927,Male,33,Eco,646,3,4,2,3,neutral or dissatisfied
115766,Female,28,Business,308,1,3,3,1,neutral or dissatisfied
21134,Male,44,Eco,227,2,3,5,2,satisfied
112062,Male,49,Eco,1754,4,1,4,4,neutral or dissatisfied
28643,Male,59,Business,2176,3,5,4,4,satisfied
108010,Male,20,Business,271,1,5,4,1,satisfied
92145,Female,46,Business,1522,3,4,3,5,satisfied
115846,Male,36,Eco,325,5,1,1,5,satisfied
99685,Female,62,Business,3217,5,4,4,5,satisfied
112072,Male,59,Business,1491,2,3,4,3,satisfied
119226,Female,29,Eco,331,3,5,2,3,neutral or dissatisfied
115925,Female,41,Business,371,1,4,1,1,neutral or dissatisfied
106552,Male,7,Eco,727,4,4,5,4,neutral or dissatisfied
25126,Female,65,Business,1249,4,3,4,5,neutral or dissatisfied
33426,Male,50,Business,2614,5,4,4,4,satisfied
125844,Female,20,Eco,951,2,3,1,2,neutral or dissatisfied
70328,Female,58,Business,2498,4,5,4,3,satisfied
88847,Female,45,Eco Plus,545,4,2,4,3,neutral or dissatisfied
108398,Male,46,Eco Plus,1838,5,3,4,5,neutral or dissatisfied
97316,Female,43,Business,3724,4,5,4,3,satisfied
124811,Male,26,Business,280,2,2,2,2,neutral or dissatisfied
23012,Male,41,Eco Plus,641,5,3,5,5,satisfied
18088,Female,50,Eco,488,3,5,5,3,neutral or dissatisfied
37982,Male,38,Business,1237,4,5,5,5,neutral or dissatisfied
31332,,38,Eco,1062,3,4,5,3,neutral or dissatisfied
97455,Female,55,Business,2699,2,3,4,4,satisfied
28901,Female,49,Business,679,2,4,2,1,satisfied
107606,Male,33,Business,423,4,3,5,4,neutral or dissatisfied
53258,Female,57,Business,4817,5,3,5,5,satisfied
14292,Female,35,Business,3833,3,5,4,4,satisfied
68232,Female,40,Business,2559,3,4,3,3,satisfied
51224,Female,37,Eco Plus,373,3,4,1,3,neutral or dissatisfied
121386,Female,52,Eco,2279,2,3,2,2,neutral or dissatisfied
31668,Male,41,Eco,862,2,3,3,2,satisfied
24628,Female,14,Eco,666,3,2,1,1,neutral or dissatisfied
95876,Female,32,Business,759,5,3,4,5,satisfied
62793,Male,11,Eco,2338,2,2,1,1,neutral or dissatisfied
83516,Male,12,Eco,946,2,1,2,2,neutral or dissatisfied
13221,Male,41,Eco,772,4,2,4,4,satisfied
100404,Female,45,Business,1011,4,4,4,4,neutral or dissatisfied
121453,Male,21,Eco,257,5,1,4,5,neutral or dissatisfied
21454,Female,31,Eco,164,2,3,1,2,neutral or dissatisfied
15937,Male,38,Eco,166,4,5,4,4,satisfied
70105,Male,40,Business,2280,3,5,4,5,satisfied
47540,Male,13,Eco,590,5,4,4,5,satisfied
57561,Female,44,Business,1597,3,2,5,4,satisfied
124103,Female,66,Business,2264,5,3,2,4,neutral or dissatisfied
125736,Female,30,Eco Plus,814,5,3,2,5,satisfied
93362,Male,44,Eco,1024,4,1,3,4,neutral or dissatisfied
95429,Female,53,Business,3276,4,3,5,5,satisfied
106943,Female,37,Business,2567,4,5,3,5,satisfied
100691,Female,39,Eco,889,3,3,3,3,neutral or dissatisfied
119948,Male,29,Business,1009,3,3,5,3,neutral or dissatisfied
15778,Male,38,Eco,198,4,3,4,4,neutral or dissatisfied
68342,Male,59,Business,,4,5,3,5,satisfied
24665,Male,19,Eco,873,4,3,3,4,neutral or dissatisfied
81029,Female,39,Business,1399,4,5,3,5,satisfied
70371,Male,22,Eco,1145,4,5,5,4,neutral or dissatisfied
1386,Male,50,Eco Plus,282,4,4,3,4,satisfied
35225,Male,22,Eco,1076,5,3,2,5,satisfied
86204,Male,56,Business,3927,5,4,4,4,satisfied
126370,Male,39,Eco,507,4,5,3,4,neutral or dissatisfied
116184,Male,29,Eco,325,5,2,3,5,satisfied
89613,Male,42,Business,3404,3,5,3,3,satisfied
99020,Male,56,Business,2387,2,3,4,3,satisfied
18463,Male,27,Business,192,4,2,1,4,satisfied
96637,Female,21,Eco,972,4,5,3,4,neutral or dissatisfied
114678,Female,42,Business,362,4,5,4,5,satisfied
97639,Female,48,Business,1587,5,4,4,3,satisfied
75061,Male,53,Business,2611,4,4,3,4,satisfied
51744,Female,64,Eco,651,2,2,3,5,neutral or dissatisfied
44413,Female,49,Eco,342,4,4,3,5,neutral or dissatisfied
2389,Female,49,Business,1625,4,5,4,5,satisfied
105062,Male,23,Eco Plus,361,3,5,4,3,neutral or dissatisfied
91464,Male,50,Business,3511,1,3,4,3,neutral or dissatisfied
55721,Male,51,Eco Plus,927,2,3,4,2,neutral or dissatisfied
65726,Male,34,Business,3666,5,5,3,3,satisfied
8473,Female,49,Business,1187,3,3,4,3,satisfied
13488,Female,56,Eco,106,4,5,4,3,satisfied
58611,Male,46,Business,235,3,4,3,3,satisfied
39607,Male,25,Eco,965,2,4,4,2,neutral or dissatisfied
41704,Female,68,Eco Plus,936,4,5,4,4,neutral or dissatisfied
126579,Female,10,Eco,1558,1,3,4,1,neutral or dissatisfied
44232,Female,44,Eco,222,2,3,4,3,satisfied
44021,Male,61,Business,680,3,1,4,3,neutral or dissatisfied
67502,Female,18,Eco Plus,641,4,2,2,4,neutral or dissatisfied
19525,Female,58,Business,3065,4,2,4,3,satisfied
110015,Female,58,Business,3736,2,2,2,3,neutral or dissatisfied
30960,Male,64,Eco,1024,4,3,5,4,neutral or dissatisfied
2153,Male,66,Business,685,5,3,5,4,neutral or dissatisfied
115097,Female,21,Business,296,4,4,4,4,satisfied
63204,Male,39,Business,337,2,5,4,4,satisfied
113849,Male,50,Business,1363,2,5,2,2,satisfied
95508,Female,43,Eco Plus,189,4,1,4,2,neutral or dissatisfied
112350,Male,41,Business,1620,4,2,5,5,satisfied
20650,Male,46,Eco,552,4,3,2,4,satisfied
65517,Male,41,Business,1616,5,4,3,5,satisfied
116988,Female,31,Eco,646,3,1,4,3,neutral or dissatisfied
116210,Female,53,Eco,404,5,3,5,5,neutral or dissatisfied
15218,Female,39,Business,3601,4,4,1,3,satisfied
35387,Female,53,Business,635,5,1,5,5,satisfied
20002,Male,25,Eco,646,4,,5,4,satisfied
102927,Female,20,Eco,317,3,4,4,3,neutral or dissatisfied
92462,Male,46,Eco,1892,2,3,4,2,neutral or dissatisfied
70950,Male,10,Eco,612,1,2,5,1,neutral or dissatisfied
76034,Female,47,Business,2609,5,4,5,5,satisfied
97177,Male,32,Eco,1357,5,2,4,5,neutral or dissatisfied
51719,Female,14,Eco,237,2,3,4,2,neutral or dissatisfied
129201,Female,16,Business,2442,4,3,5,4,satisfied
35558,Female,53,Eco,950,2,1,4,3,neutral or dissatisfied
109398,Male,55,Business,2896,3,5,4,3,satisfied
65351,Female,28,Business,1537,5,5,4,5,satisfied
102482,Female,49,Eco,197,4,3,3,1,neutral or dissatisfied
17932,Male,54,Eco Plus,789,1,4,5,1,neutral or dissatisfied
122276,Female,70,Eco,541,4,5,5,5,neutral or dissatisfied
57484,Female,25,Eco,782,1,3,4,1,neutral or dissatisfied
121069,Female,48,Business,951,5,3,5,3,satisfied
41414,Male,7,Eco,563,2,5,5,2,neutral or dissatisfied
49839,Male,39,Eco,109,3,3,3,3,neutral or dissatisfied
48189,Male,79,Eco,414,2,1,1,2,neutral or dissatisfied
82445,Female,28,Business,502,5,4,3,5,neutral or dissatisfied
108108,Male,41,Business,990,4,4,3,3,satisfied
63984,Female,27,Eco Plus,1192,1,1,4,1,neutral or dissatisfied
105287,Female,59,Business,2869,3,5,5,3,satisfied
9385,Female,21,Eco,401,5,3,4,5,neutral or dissatisfied
25265,Male,48,Eco,425,5,4,5,5,satisfied
119844,Male,53,Eco,1095,3,1,3,3,neutral or dissatisfied
33840,Female,42,Business,1609,2,2,2,1,neutral or dissatisfied
81815,Female,48,Eco,1310,1,2,2,1,neutral or dissatisfied
83524,Male,59,Eco,946,1,4,3,1,satisfied
78999,Female,53,Business,3804,5,5,5,3,satisfied
46712,Male,24,Eco,125,2,2,1,2,neutral or dissatisfied
41188,Male,56,Eco,429,3,1,3,3,neutral or dissatisfied
5326,Female,42,Business,3004,3,5,5,4,satisfied
80176,Female,24,Eco,1455,2,4,4,4,neutral or dissatisfied
46900,Male,28,Business,833,2,1,4,2,
89219,Female,17,Eco,1892,1,2,2,1,neutral or dissatisfied
17928,Male,31,Eco Plus,789,2,1,3,2,neutral or dissatisfied
55425,Male,60,Business,2254,4,4,4,4,satisfied
88130,Male,39,Business,444,1,5,4,1,satisfied
48354,Female,47,Eco,522,3,4,2,2,satisfied
105905,Male,60,Eco,283,3,2,2,3,neutral or dissatisfied
60943,Male,13,Business,1529,4,4,3,4,satisfied
101584,Male,29,Business,1099,3,1,1,3,neutral or dissatisfied
71388,Female,45,Business,2580,2,5,5,5,satisfied
77866,Male,44,Business,1262,3,4,5,4,satisfied
49223,Female,50,Eco,109,4,5,3,2,satisfied
106530,Female,26,Eco,271,5,4,5,5,neutral or dissatisfied
28676,Female,27,Business,2777,5,4,3,5,satisfied
39553,Male,16,Business,2865,5,3,4,5,satisfied
109597,Female,24,Eco,920,3,4,4,3,neutral or dissatisfied
62291,Male,34,Business,414,1,5,4,1,neutral or dissatisfied
40177,Female,30,Business,2154,5,1,2,5,satisfied
33413,Male,50,Eco,2349,4,1,3,4,satisfied
127599,Male,21,Eco,1773,4,3,3,4,neutral or dissatisfied
66723,Male,61,Eco,802,4,1,2,4,neutral or dissatisfied
73698,Female,32,Business,192,3,4,4,3,neutral or dissatisfied
27641,Female,22,Eco Plus,937,1,1,4,1,neutral or dissatisfied
83891,Male,46,Business,1050,2,4,3,2,neutral or dissatisfied
51662,Female,15,Eco,370,4,3,1,4,neutral or dissatisfied
19833,Female,29,Eco,413,1,1,3,1,neutral or dissatisfied
63416,Female,12,Eco,372,5,4,3,5,neutral or dissatisfied
7645,Male,50,Business,641,1,3,4,1,neutral or dissatisfied
86002,Male,54,Eco,528,2,1,2,2,neutral or dissatisfied
64457,Male,69,Eco,989,5,3,4,5,neutral or dissatisfied
109551,Male,38,Eco,920,3,2,2,3,neutral or dissatisfied
86553,Female,25,Eco Plus,853,4,3,3,4,neutral or dissatisfied
17491,Male,26,Eco,352,3,4,2,3,neutral or dissatisfied
114667,Female,53,Business,2690,5,3,3,5,satisfied
59149,Male,47,Business,1846,5,4,4,5,satisfied
74892,Male,42,Business,2475,5,5,5,3,satisfied
15197,Male,19,Eco,461,3,5,4,4,neutral or dissatisfied
6867,Male,63,Eco,622,3,4,5,3,neutral or dissatisfied
111943,Male,18,Eco,533,2,5,5,2,neutral or dissatisfied
46720,Male,52,Eco,125,3,3,1,3,neutral or dissatisfied
67966,Male,60,Eco Plus,1464,3,4,4,3,neutral or dissatisfied
33341,Male,38,Business,2355,3,5,1,3,satisfied
50319,Male,41,Eco,77,5,2,1,5,satisfied
82927,Male,41,Business,2563,3,3,3,3,satisfied
14562,Female,15,Eco,986,1,5,5,1,neutral or dissatisfied
108335,Female,49,Eco,1750,1,2,1,1,neutral or dissatisfied
97959,Male,18,Eco,793,3,3,4,3,satisfied
1026,Female,39,Eco,229,5,2,3,5,satisfied
26910,Female,25,Business,1874,2,2,4,2,neutral or dissatisfied
14054,Male,28,Business,319,4,5,3,4,satisfied
109458,Female,37,Business,2571,5,5,4,5,satisfied
51772,Female,31,Eco,261,3,1,2,3,neutral or dissatisfied
15019,Female,32,Eco,557,3,5,4,3,neutral or dissatisfied
23664,Female,25,Eco,196,5,5,5,5,neutral or dissatisfied
6731,Male,55,Business,3934,5,4,4,3,satisfied
57753,Male,51,Business,2704,5,4,5,5,satisfied
29788,Female,40,Business,2334,4,5,3,2,satisfied
28336,Male,25,Business,3848,4,1,1,4,satisfied
2878,Female,70,Eco,409,2,5,3,3,neutral or dissatisfied
81675,Female,55,Eco,907,4,2,1,3,neutral or dissatisfied
50905,Male,53,Eco,262,5,3,3,5,neutral or dissatisfied
90850,Male,73,Business,2141,3,2,3,4,neutral or dissatisfied
29340,Female,32,Eco Plus,859,3,3,5,3,satisfied
68731,Male,30,Eco Plus,237,4,1,4,4,neutral or dissatisfied
115978,Male,19,Eco,308,5,4,3,5,neutral or dissatisfied
29829,Male,33,Business,3679,5,3,2,5,satisfied
82401,Female,13,Eco,501,2,4,4,2,neutral or dissatisfied
80083,Male,53,Eco Plus,550,3,5,4,3,satisfied
42783,Female,31,Eco,1118,2,3,4,2,neutral or dissatisfied
39020,Male,62,Business,3179,4,4,4,4,satisfied
46111,Male,29,Eco,1085,2,4,3,2,neutral or dissatisfied
66327,Male,57,Business,2807,2,5,4,4,satisfied
43012,Male,34,Business,3802,3,2,2,2,satisfied
82776,Male,45,Eco,926,5,3,4,5,neutral or dissatisfied
48215,Female,65,Eco,192,5,2,2,3,neutral or dissatisfied
57441,Female,48,Business,235,2,2,3,4,neutral or dissatisfied
55928,Female,8,Eco,733,3,1,4,3,neutral or dissatisfied
